,image_name,image_url
0,99f09f54304d97ef.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/99f09f54304d97ef.jpg
1,21b7fec64e118f2e.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/21b7fec64e118f2e.jpg
2,57da21d69e1aae05.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/57da21d69e1aae05.jpg
3,788c8f3c791b126b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/788c8f3c791b126b.jpg
4,2e4c6b7097fb7504.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/2e4c6b7097fb7504.jpg
5,1f15be894373d45b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/1f15be894373d45b.jpg
6,ce388037d85ec521.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/ce388037d85ec521.jpg
7,edaf009d79b702f6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/edaf009d79b702f6.jpg
8,89d7fec2f50df5dd.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/89d7fec2f50df5dd.jpg
9,821519604bd489fd.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/821519604bd489fd.jpg
10,2c57d43b16d35db1.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/2c57d43b16d35db1.jpg
11,86d82c6e4efa4d22.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/86d82c6e4efa4d22.jpg
12,27973d010d48793c.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/27973d010d48793c.jpg
13,b1af3dec2017eae6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/b1af3dec2017eae6.jpg
14,95b17e5acbde5f32.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/95b17e5acbde5f32.jpg
15,f3913c225f6d3749.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/f3913c225f6d3749.jpg
16,1f3c7b9d2a4c4239.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/1f3c7b9d2a4c4239.jpg
17,f9d4413e164c4326.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/f9d4413e164c4326.jpg
